seen,seconds,mean_spikes,mean_neurons_per_image,active_neurons,mean_theta
500,48.7,325.29,249.62,400,8.0629
1000,93.2,264.26,178.26,400,14.3999
1500,142.6,131.32,88.68,400,17.3046
2000,193.6,82.41,52.63,400,18.9640
2500,240.4,63.80,37.58,400,20.1604
3000,288.2,63.23,36.96,400,21.3398
3500,336.9,57.21,31.45,400,22.3343
4000,383.5,49.17,26.13,400,23.0860
4500,431.4,45.98,24.36,400,23.7143
5000,483.1,40.84,21.63,400,24.1697
5500,532.7,44.38,24.42,400,24.6329
6000,584.9,45.84,23.98,400,24.9774
6500,637.3,34.36,16.20,400,25.0735
7000,687.6,34.24,17.15,400,25.2257
7500,738.8,39.36,19.31,400,25.3972
8000,788.2,37.10,18.88,400,25.5095
8500,846.8,37.93,18.45,399,25.6173
9000,898.5,32.99,16.48,398,25.6396
9500,950.8,31.00,15.06,398,25.6379
10000,999.8,33.72,16.65,399,25.7392
10500,1054.2,33.32,16.22,400,25.8211
11000,1104.2,30.14,15.06,400,25.7809
11500,1154.9,31.05,16.09,399,25.8089
12000,1207.8,33.32,16.76,400,25.8531
12500,1260.2,29.23,13.42,399,25.8261
13000,1312.2,28.76,13.41,400,25.7993
13500,1363.6,28.71,13.43,400,25.7696
14000,1412.1,29.47,13.63,400,25.7504
14500,1464.1,33.16,17.29,400,25.8295
15000,1514.7,31.60,15.51,400,25.8642
15500,1564.0,31.51,15.75,399,25.8708
16000,1613.3,37.68,19.36,400,25.9976
16500,1662.2,31.69,15.38,399,26.0030
17000,1709.0,31.59,15.17,400,26.0113
17500,1757.6,33.31,15.69,400,26.0628
18000,1810.0,30.99,14.14,399,26.0610
18500,1858.6,30.78,13.51,400,26.0475
19000,1904.9,34.55,15.94,399,26.1186
19500,1956.8,31.62,14.69,400,26.0926
20000,2007.5,30.08,13.79,399,26.0390
20500,2059.6,30.04,13.54,398,26.0232
21000,2110.7,27.10,11.35,399,25.9864
21500,2164.5,30.51,14.37,400,26.0528
22000,2214.4,34.68,16.29,400,26.1375
22500,2265.8,35.34,16.73,400,26.2173
23000,2315.1,30.75,14.53,400,26.1827
23500,2363.7,30.93,13.87,400,26.1948
24000,2411.2,28.46,12.87,400,26.1708
24500,2461.3,32.18,14.03,400,26.2254
25000,2512.3,32.30,15.14,400,26.2558
25500,2560.5,32.90,15.47,400,26.3087
26000,2612.6,36.97,16.85,400,26.4256
26500,2662.4,31.54,14.38,400,26.4037
27000,2713.2,32.28,15.26,400,26.3801
27500,2765.9,40.34,19.19,399,26.5219
28000,2820.7,34.71,16.79,400,26.5301
28500,2871.8,31.58,14.88,398,26.4537
29000,2923.7,27.05,12.01,399,26.3617
29500,2974.8,30.40,14.93,400,26.3637
30000,3027.3,30.38,13.38,398,26.3694
30500,3082.1,25.38,11.02,400,26.2706
31000,3136.5,34.78,17.68,400,26.3913
31500,3183.9,29.74,13.52,400,26.3574
32000,3235.9,37.13,17.63,399,26.4503
32500,3289.4,37.79,17.78,400,26.5645
33000,3341.6,34.43,16.34,400,26.5591
33500,3394.7,34.93,16.32,400,26.5678
34000,3449.8,39.04,17.78,400,26.6415
34500,3505.7,35.92,15.81,400,26.6241
35000,3559.4,31.25,13.64,400,26.5355
35500,3611.6,29.17,13.33,400,26.4784
36000,3664.9,32.24,14.69,400,26.4972
36500,3718.7,38.42,17.29,400,26.6063
37000,3772.6,29.54,13.35,400,26.5650
37500,3829.4,38.21,17.61,400,26.7286
38000,3886.9,29.77,14.46,399,26.6823
38500,3939.1,29.17,13.62,400,26.5939
39000,3992.5,28.88,14.39,400,26.5426
39500,4048.7,33.87,15.83,400,26.6137
40000,4106.5,31.95,15.47,399,26.5325
40500,4164.6,32.74,15.45,399,26.5388
41000,4220.5,32.24,15.01,400,26.5530
41500,4279.7,31.71,14.62,400,26.5439
42000,4334.9,28.04,11.60,399,26.4762
42500,4389.3,34.05,15.15,400,26.4975
43000,4446.6,32.65,14.19,400,26.5223
43500,4505.1,32.87,14.63,400,26.4806
44000,4565.9,37.59,16.79,400,26.5295
44500,4623.1,36.60,16.56,400,26.5159
45000,4675.7,38.83,17.87,400,26.6194
45500,4727.2,35.24,16.57,400,26.6056
46000,4780.2,34.53,16.06,398,26.5754
46500,4835.9,37.43,16.83,399,26.6126
47000,4894.8,39.39,17.01,400,26.7006
47500,4950.8,39.06,17.67,399,26.7583
48000,5005.5,37.50,17.30,399,26.7969
48500,5062.7,31.66,14.25,399,26.6978
49000,5119.1,43.43,19.95,400,26.8855
49500,5177.3,35.47,16.60,398,26.8521
50000,5234.0,33.99,15.32,399,26.7993
50500,5289.6,38.25,16.52,399,26.8518
51000,5349.3,38.52,16.96,400,26.9119
51500,5403.5,32.69,15.43,400,26.8068
52000,5457.9,34.03,15.97,400,26.7739
52500,5513.1,40.03,17.07,398,26.8995
53000,5570.0,32.34,14.76,400,26.8253
53500,5628.1,28.97,12.91,399,26.6164
54000,5687.2,34.91,16.06,400,26.5918
54500,5748.1,34.75,14.90,400,26.5911
55000,5804.4,33.64,15.13,400,26.5504
55500,5864.6,37.12,16.03,400,26.6022
56000,5922.1,31.38,15.19,399,26.5498
56500,5979.8,35.84,16.18,398,26.5985
57000,6031.5,28.48,12.83,399,26.5792
57500,6089.0,39.39,18.77,399,26.6869
58000,6151.3,31.42,14.33,399,26.6454
58500,6207.4,37.94,16.84,399,26.7021
59000,6260.2,32.51,14.88,400,26.6079
59500,6314.4,32.06,13.60,398,26.5731
60000,6372.7,32.52,14.08,400,26.5830
